frame,particle,pop_tag,x,y,dir_x,dir_y
8.4375,19,Population 2,24.502254486083984,37.9974365234375,1.0,0.0
9.0,0,Population 1,21.7122859954834,50.61400604248047,1.0,0.0
9.0,1,Population 1,74.07029724121094,20.82170295715332,1.0,0.0
9.0,2,Population 1,81.50819396972656,97.98563385009766,1.0,0.0
9.0,3,Population 1,23.990081787109375,76.60256958007812,1.0,0.0
9.0,4,Population 1,0.1459181308746338,51.97248458862305,1.0,0.0
9.0,5,Population 1,43.49985885620117,36.16884231567383,1.0,0.0
9.0,6,Population 1,25.937896728515625,6.009328365325928,1.0,0.0
9.0,7,Population 1,59.16542434692383,50.253028869628906,1.0,0.0
9.0,8,Population 1,91.46092224121094,17.30097007751465,1.0,0.0
9.0,9,Population 1,37.812984466552734,47.530548095703125,1.0,0.0
9.0,10,Population 2,99.25144958496094,90.91666412353516,1.0,0.0
9.0,11,Population 2,28.667604446411133,60.57954406738281,1.0,0.0
9.0,12,Population 2,65.10267639160156,27.9930419921875,1.0,0.0
9.0,13,Population 2,53.26850891113281,50.05133819580078,1.0,0.0
9.0,14,Population 2,68.96393585205078,36.85976791381836,1.0,0.0
9.0,15,Population 2,71.86270141601562,7.9821882247924805,1.0,0.0
9.0,16,Population 2,18.69703483581543,94.45625305175781,1.0,0.0
9.0,17,Population 2,16.674827575683594,31.259172439575195,1.0,0.0
9.0,18,Population 2,93.82606506347656,17.016284942626953,1.0,0.0
9.0,19,Population 2,24.502254486083984,37.9974365234375,1.0,0.0
9.5625,0,Population 1,21.7122859954834,50.61400604248047,1.0,0.0
9.5625,1,Population 1,74.07029724121094,20.82170295715332,1.0,0.0
9.5625,2,Population 1,81.50819396972656,97.98563385009766,1.0,0.0
9.5625,3,Population 1,23.990081787109375,76.60256958007812,1.0,0.0
9.5625,4,Population 1,0.1459181308746338,51.97248458862305,1.0,0.0
9.5625,5,Population 1,43.49985885620117,36.16884231567383,1.0,0.0
9.5625,6,Population 1,25.937896728515625,6.009328365325928,1.0,0.0
9.5625,7,Population 1,59.16542434692383,50.253028869628906,1.0,0.0
9.5625,8,Population 1,91.46092224121094,17.30097007751465,1.0,0.0
9.5625,9,Population 1,37.812984466552734,47.530548095703125,1.0,0.0
9.5625,10,Population 2,99.25144958496094,90.91666412353516,1.0,0.0
9.5625,11,Population 2,28.667604446411133,60.57954406738281,1.0,0.0
9.5625,12,Population 2,65.10267639160156,27.9930419921875,1.0,0.0
9.5625,13,Population 2,53.26850891113281,50.05133819580078,1.0,0.0
9.5625,14,Population 2,68.96393585205078,36.85976791381836,1.0,0.0
9.5625,15,Population 2,71.86270141601562,7.9821882247924805,1.0,0.0
9.5625,16,Population 2,18.69703483581543,94.45625305175781,1.0,0.0
9.5625,17,Population 2,16.674827575683594,31.259172439575195,1.0,0.0
9.5625,18,Population 2,93.82606506347656,17.016284942626953,1.0,0.0
9.5625,19,Population 2,24.502254486083984,37.9974365234375,1.0,0.0
